unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_B2,admission,evidence,downgrade_notes,script_tier,rule_version
BJ-2023-CY-YIMO-Q8,BJ-2023-CY-YIMO-Q8,BJ-2023-CY-YIMO,8,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q9,BJ-2023-CY-YIMO-Q9,BJ-2023-CY-YIMO,9,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q12,BJ-2023-CY-YIMO-Q12,BJ-2023-CY-YIMO,12,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q13,BJ-2023-CY-YIMO-Q13,BJ-2023-CY-YIMO,13,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q14,BJ-2023-CY-YIMO-Q14,BJ-2023-CY-YIMO,14,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q15,BJ-2023-CY-YIMO-Q15,BJ-2023-CY-YIMO,15,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q16,BJ-2023-CY-YIMO-Q16,BJ-2023-CY-YIMO,16,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q17,BJ-2023-CY-YIMO-Q17,BJ-2023-CY-YIMO,17,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q18,BJ-2023-CY-YIMO-Q18,BJ-2023-CY-YIMO,18,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q19#1,BJ-2023-CY-YIMO-Q19,BJ-2023-CY-YIMO,19,主观题,1,小问,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
