qid,exam,num,type,category,dup_of,dup_covered_by,mention_in,md,bank_status
BJ-2024-FT-ERMO-Q21,BJ-2024-FT-ERMO,21,非选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2024-SJS-YIMO-Q1,BJ-2024-SJS-YIMO,1,选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2025-HD-YIMO-Q11,BJ-2025-HD-YIMO,11,选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2025-SJS-YIMO-Q1,BJ-2025-SJS-YIMO,1,选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2025-SJS-YIMO-Q7,BJ-2025-SJS-YIMO,7,选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2025-FT-ERMO-Q1,BJ-2025-FT-ERMO,1,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2025-DC-QIMO-Q2,BJ-2025-DC-QIMO,2,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2025-CY-QIMO-Q1,BJ-2025-CY-QIMO,1,选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2025-HD-QIZHONG-Q18,BJ-2025-HD-QIZHONG,18,非选择题,exam_untouched_by_targets,,,,True,待复核
BJ-2025-HD-QIZHONG-Q19,BJ-2025-HD-QIZHONG,19,非选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q19,bixiu3,,True,待复核
BJ-2025-HD-QIZHONG-Q21,BJ-2025-HD-QIZHONG,21,非选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q21,bixiu3;xuanbi1;xuanbi2,,True,待复核
BJ-2025-HD-QIZHONG-Q1,BJ-2025-HD-QIZHONG,1,选择题,exam_untouched_by_targets,BJ-2024-HD-QIZHONG-Q1,,,True,待复核
BJ-2025-HD-QIZHONG-Q2,BJ-2025-HD-QIZHONG,2,选择题,exam_untouched_by_targets,BJ-2024-HD-QIZHONG-Q2,,,True,待复核
BJ-2025-HD-QIZHONG-Q3,BJ-2025-HD-QIZHONG,3,选择题,exam_untouched_by_targets,BJ-2024-HD-QIZHONG-Q3,,,True,待复核
BJ-2025-HD-QIZHONG-Q4,BJ-2025-HD-QIZHONG,4,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q4,bixiu2,,True,待复核
BJ-2025-HD-QIZHONG-Q5,BJ-2025-HD-QIZHONG,5,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q5,bixiu2,,True,待复核
BJ-2025-HD-QIZHONG-Q6,BJ-2025-HD-QIZHONG,6,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q6,bixiu2,,True,待复核
BJ-2025-HD-QIZHONG-Q7,BJ-2025-HD-QIZHONG,7,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q7,bixiu3,,True,待复核
BJ-2025-HD-QIZHONG-Q8,BJ-2025-HD-QIZHONG,8,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q8,bixiu3,,True,待复核
BJ-2025-HD-QIZHONG-Q9,BJ-2025-HD-QIZHONG,9,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q9,bixiu3;culture,,True,待复核
BJ-2025-HD-QIZHONG-Q10,BJ-2025-HD-QIZHONG,10,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q10,bixiu2;bixiu3,,True,待复核
BJ-2025-HD-QIZHONG-Q11,BJ-2025-HD-QIZHONG,11,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q11,bixiu2;bixiu3,,True,待复核
BJ-2025-HD-QIZHONG-Q12,BJ-2025-HD-QIZHONG,12,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q12,xuanbi1,,True,待复核
BJ-2025-HD-QIZHONG-Q13,BJ-2025-HD-QIZHONG,13,选择题,exam_untouched_by_targets,BJ-2024-HD-QIZHONG-Q13,,,True,待复核
BJ-2025-HD-QIZHONG-Q14,BJ-2025-HD-QIZHONG,14,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q14,bixiu2;xuanbi1,,True,待复核
BJ-2025-HD-QIZHONG-Q15,BJ-2025-HD-QIZHONG,15,选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q15,xuanbi1,,True,待复核
BJ-2025-HD-QIZHONG-Q25,BJ-2025-HD-QIZHONG,25,非选择题,dup_of_covered,BJ-2024-HD-QIZHONG-Q16,xuanbi1,,True,待复核
BJ-2026-FT-YIMO-Q19,BJ-2026-FT-YIMO,19,非选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-YQ-YIMO-Q1,BJ-2026-YQ-YIMO,1,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-HD-YIMO-Q3,BJ-2026-HD-YIMO,3,选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2026-SJS-YIMO-Q20,BJ-2026-SJS-YIMO,20,非选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2026-TZ-YIMO-Q12,BJ-2026-TZ-YIMO,12,选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2026-TZ-YIMO-Q19,BJ-2026-TZ-YIMO,19,非选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2026-MTG-YIMO-Q2,BJ-2026-MTG-YIMO,2,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-FS-ERMO-Q1,BJ-2026-FS-ERMO,1,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-CP-ERMO-Q2,BJ-2026-CP-ERMO,2,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q3,BJ-2026-CP-ERMO,3,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q4,BJ-2026-CP-ERMO,4,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q5,BJ-2026-CP-ERMO,5,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q6,BJ-2026-CP-ERMO,6,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q7,BJ-2026-CP-ERMO,7,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q10,BJ-2026-CP-ERMO,10,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q11,BJ-2026-CP-ERMO,11,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q12,BJ-2026-CP-ERMO,12,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q13,BJ-2026-CP-ERMO,13,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q14,BJ-2026-CP-ERMO,14,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q15,BJ-2026-CP-ERMO,15,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q16,BJ-2026-CP-ERMO,16,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q18,BJ-2026-CP-ERMO,18,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q19,BJ-2026-CP-ERMO,19,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q20,BJ-2026-CP-ERMO,20,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-ERMO-Q21,BJ-2026-CP-ERMO,21,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-SJS-ERMO-Q18,BJ-2026-SJS-ERMO,18,非选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-SJS-ERMO-Q6,BJ-2026-SJS-ERMO,6,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2026-SY-ERMO-Q20,BJ-2026-SY-ERMO,20,非选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2026-SY-ERMO-Q7,BJ-2026-SY-ERMO,7,选择题,scattered_in_processed_exam,,,,True,待复核
BJ-2026-CP-QIMO-Q1,BJ-2026-CP-QIMO,1,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2026-CP-QIMO-Q2,BJ-2026-CP-QIMO,2,选择题,exam_untouched_by_targets,,,,True,已验收
