unit_id,qid,exam_id_raw,exam_id_canonical,num,type,subq,grain,content_fingerprint,script_tier,归属_B1,归属_B2,归属_B3,归属_PH,归属_CU,归属_X1,归属_X2,归属_MI,归属_RE,admission,evidence,downgrade_notes,dup_of,dup_covered_by,conflict_script_out,rule_version,source,ruled
BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,12,选择题,,整题,afe270e7156f8a56,不明,MAYBE,COLLECTED,MAYBE,OUT,OUT,MAYBE,MAYBE,OUT,MAYBE,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,13,选择题,,整题,befec25e69edb19d,不明,MAYBE,COLLECTED,MAYBE,OUT,OUT,MAYBE,MAYBE,OUT,MAYBE,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,14,选择题,,整题,edd2d74051a997ab,不明,MAYBE,COLLECTED,MAYBE,OUT,OUT,MAYBE,OUT,OUT,MAYBE,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,15,选择题,,整题,46dd019352b51066,不明,MAYBE,MAYBE,MAYBE,OUT,OUT,COLLECTED,OUT,OUT,MAYBE,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,16,主观题,,整题,722ed37319ae853b,不明,MAYBE,OUT,MAYBE,COLLECTED,MAYBE,MAYBE,MAYBE,OUT,OUT,完整题-有E1,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,17,主观题,,整题,00c7f465f3075e33,不明,OUT,MAYBE,OUT,COLLECTED,COLLECTED,OUT,MAYBE,MAYBE,MAYBE,完整题-有E1,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,18,主观题,,整题,567c5c9d9c0ae48b,不明,OUT,OUT,MAYBE,OUT,OUT,MAYBE,MAYBE,MAYBE,COLLECTED,完整题-有E1,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,19,主观题,,整题,15603ee05abfa0d3,倾向,OUT,MAYBE,OUT,OUT,OUT,OUT,MAYBE,COLLECTED,OUT,完整题-有E1,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q20#1,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,20,主观题,1,小问,afa8bc58c88ae798,不明,OUT,COLLECTED,MAYBE,OUT,OUT,COLLECTED,MAYBE,OUT,MAYBE,完整题-有E1,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q20#2,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,20,主观题,2,小问,afa8bc58c88ae798,不明,OUT,COLLECTED,MAYBE,OUT,OUT,COLLECTED,MAYBE,OUT,MAYBE,完整题-有E1,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
